YEAR,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
2018,1,4.676,6.034,3.317,0.628,0.602,0.959,1.150,1.745,1.000,0.357,0.357,3.433,0.114,0.068,0.192,0.068
2017,1,4.849,5.824,3.862,0.667,0.571,0.856,1.033,1.291,1.000,0.383,0.383,3.343,0.152,0.087,0.226,0.087
2016,1,4.450,5.388,3.649,0.651,0.701,1.078,1.324,1.592,1.054,0.383,0.404,3.343,0.099,0.070,0.172,0.066
2015,1,8.124,9.276,6.541,0.816,0.750,0.919,1.030,1.303,1.000,0.687,0.687,7.807,0.105,0.079,0.115,0.079
2014,1,5.301,6.719,3.905,0.798,0.526,0.659,0.774,1.133,1.000,0.747,0.747,6.289,0.083,0.044,0.059,0.044
2013,1,5.823,6.329,5.367,0.915,0.365,0.399,0.474,0.471,1.000,0.764,0.764,5.285,0.130,0.048,0.062,0.048
2012,1,3.639,4.577,2.924,0.909,0.041,0.046,0.058,0.071,1.000,0.757,0.757,3.811,-0.969,-0.040,-0.053,-0.040
2011,1,0.366,1.064,0.071,0.749,0.213,0.284,4.696,4.264,1.000,0.248,0.248,0.352,-0.621,-0.132,-0.534,-0.132
2018,1,1.441,1.612,0.088,0.722,0.310,0.429,1.129,7.814,1.000,0.181,0.181,0.404,0.063,0.019,0.107,0.019
2017,1,1.596,1.801,0.168,0.690,0.300,0.434,0.977,4.649,1.000,0.249,0.249,0.649,0.097,0.029,0.117,0.029
2016,1,1.567,1.697,0.126,0.658,0.325,0.494,1.204,6.671,1.000,0.265,0.265,0.683,0.082,0.027,0.101,0.027
2015,1,1.772,2.016,0.148,0.698,0.366,0.525,1.041,7.153,1.000,0.269,0.269,0.775,0.071,0.026,0.097,0.026
2014,1,1.899,2.230,0.253,0.693,0.314,0.453,0.821,3.985,1.000,0.283,0.283,0.911,0.094,0.030,0.105,0.030
2013,1,2.145,2.646,0.110,0.665,0.246,0.370,0.594,8.886,1.000,0.281,0.281,1.118,0.098,0.024,0.085,0.024
2012,1,2.792,3.116,0.235,0.664,0.331,0.499,0.735,6.610,1.000,0.228,0.228,1.072,0.111,0.037,0.162,0.037
2011,1,2.750,3.009,0.257,0.670,0.412,0.614,0.920,7.190,1.000,0.213,0.213,0.955,0.147,0.060,0.285,0.060
2018,1,0.573,1.193,0.119,0.759,0.675,0.889,5.498,8.897,1.000,0.364,0.364,0.571,0.039,0.026,0.072,0.026
2017,1,0.654,1.221,0.142,0.754,0.682,0.904,4.987,7.757,1.000,0.173,0.173,0.280,0.067,0.046,0.264,0.046
2016,1,0.654,1.147,0.139,0.727,0.726,0.999,7.775,8.223,1.000,0.195,0.195,0.308,0.030,0.022,0.111,0.022
2015,1,0.512,1.206,0.128,0.699,0.680,0.972,5.699,9.173,1.000,0.240,0.240,0.414,0.058,0.039,0.164,0.039
2014,1,0.610,1.175,0.221,0.755,0.550,0.728,4.877,3.868,1.000,0.210,0.210,0.327,0.050,0.028,0.132,0.028
2013,1,0.570,1.228,0.160,0.761,0.455,0.598,3.221,4.578,1.000,0.031,0.031,0.050,0.031,0.014,0.459,0.014
2012,1,0.497,1.227,0.058,0.708,0.432,0.610,3.298,12.892,1.000,0.231,0.231,0.401,0.065,0.028,0.122,0.028
2011,1,0.851,1.364,0.153,0.862,0.394,0.457,1.712,4.077,1.000,0.191,0.191,0.302,0.062,0.024,0.128,0.024
2018,1,1.053,1.856,0.231,0.822,1.642,1.997,4.330,16.082,1.000,0.119,0.119,0.269,0.034,0.055,0.464,0.055
2017,1,1.204,1.934,0.242,0.796,1.547,1.943,4.022,15.547,1.000,0.083,0.083,0.203,0.056,0.086,1.032,0.086
2016,1,1.500,2.591,0.374,0.794,1.700,2.141,3.487,14.837,1.000,0.142,0.142,0.463,0.059,0.100,0.704,0.100
2015,1,1.133,2.017,0.150,0.772,1.737,2.251,4.464,30.301,1.000,0.107,0.107,0.281,0.058,0.101,0.937,0.101
2014,1,1.097,1.718,0.307,0.799,1.551,1.940,4.644,10.866,1.000,0.133,0.133,0.285,0.025,0.038,0.288,0.038
2013,1,1.185,1.936,0.296,0.756,1.742,2.305,4.766,15.088,1.000,0.146,0.146,0.374,0.064,0.111,0.761,0.111
2012,1,1.364,2.122,0.548,0.762,1.967,2.582,4.882,9.997,1.000,0.137,0.137,0.382,0.104,0.204,1.484,0.204
2011,1,1.533,1.986,0.589,0.736,2.068,2.810,5.660,9.477,1.000,0.162,0.162,0.437,0.077,0.158,0.976,0.158
2018,1,11.997,12.864,3.811,0.792,0.417,0.527,0.571,1.778,1.000,0.029,0.029,0.477,0.413,0.172,5.860,0.172
2017,1,9.810,10.632,0.525,0.777,0.390,0.501,0.553,10.156,1.000,0.028,0.028,0.387,0.379,0.148,5.227,0.148
2016,1,15.882,17.077,0.909,0.784,0.406,0.518,0.550,9.735,1.000,0.026,0.026,0.565,0.406,0.165,6.353,0.165
2015,1,14.858,16.141,1.055,0.755,0.398,0.528,0.563,8.072,1.000,0.023,0.023,0.482,0.421,0.168,7.443,0.168
2014,1,13.558,14.893,0.393,0.742,0.421,0.567,0.608,21.474,1.000,0.018,0.018,0.359,0.412,0.174,9.698,0.174
2013,1,11.171,12.367,0.889,0.721,0.435,0.603,0.656,8.389,1.000,0.013,0.013,0.225,0.415,0.181,13.736,0.181
2012,1,11.133,12.974,3.027,0.610,0.519,0.851,0.923,3.649,1.000,0.025,0.025,0.531,0.286,0.149,5.952,0.149
2011,1,11.679,12.699,4.057,0.372,0.409,1.098,1.192,3.437,1.000,0.117,0.117,3.985,0.198,0.081,0.694,0.081
2018,0,0.902,1.008,0.028,0.690,0.221,0.321,41.354,11.454,1.000,0.311,0.311,0.454,-0.010,-0.002,-0.007,-0.002
2017,0,0.944,0.997,0.058,0.678,0.250,0.368,-110.089,6.347,1.000,0.302,0.302,0.443,-0.072,-0.018,-0.059,-0.018
2016,0,0.966,1.028,0.012,0.681,0.353,0.518,19.053,43.201,1.000,0.287,0.287,0.434,-0.114,-0.040,-0.140,-0.040
2015,0,1.051,1.113,0.101,0.689,0.321,0.466,4.608,5.130,1.000,0.286,0.286,0.461,0.006,0.002,0.007,0.002
2014,0,1.101,1.163,0.060,0.585,0.389,0.665,4.732,12.812,1.000,0.366,0.366,0.729,0.023,0.009,0.024,0.009
2013,0,1.134,1.183,0.043,0.664,0.332,0.501,3.235,13.831,1.000,0.279,0.279,0.497,0.058,0.019,0.070,0.019
2012,0,0.127,1.190,0.077,0.732,0.293,0.400,2.507,6.174,1.000,0.186,0.186,0.302,0.026,0.008,0.041,0.008
2011,0,1.144,1.180,0.024,0.662,0.281,0.424,2.771,20.452,0.888,0.234,0.208,0.371,-0.287,-0.081,-0.387,-0.091
2018,1,2.090,2.208,0.189,0.550,0.456,0.830,1.516,9.682,1.000,0.280,0.280,1.125,0.113,0.052,0.184,0.052
2017,1,2.016,2.066,0.150,0.523,0.432,0.826,1.602,11.378,1.000,0.322,0.322,1.272,0.144,0.062,0.193,0.062
2016,1,1.751,1.825,0.140,0.411,0.427,1.038,2.296,13.519,1.000,0.334,0.334,1.480,0.155,0.066,0.199,0.066
2015,1,1.423,1.462,0.247,0.328,0.529,1.615,5.106,9.542,1.000,0.279,0.279,1.244,0.197,0.104,0.374,0.104
2014,1,1.344,1.377,0.445,0.303,0.595,1.961,7.160,6.068,1.000,0.266,0.266,1.206,0.170,0.101,0.381,0.101
2013,1,2.088,2.160,0.962,0.458,0.528,1.153,2.148,2.591,1.000,0.261,0.261,1.231,0.129,0.068,0.260,0.068
2012,1,4.957,5.208,1.402,0.556,0.378,0.681,0.842,2.528,1.000,0.322,0.322,3.015,15.275,5.777,17.956,5.777
2011,1,-11.163,4.590,1.050,0.552,0.347,0.629,0.805,2.752,1.000,0.253,0.253,2.107,0.151,0.052,0.207,0.052
2018,1,2.569,2.569,0.813,0.348,0.010,0.028,0.046,0.089,1.000,0.861,0.861,6.353,0.069,0.001,0.001,0.001
